product_name,brands,energy_100g,proteins_100g,carbohydrates_100g,fat_100g,fiber_100g,sugars_100g,salt_100g
Pain Burger Artisan,Kirkland Signature,1160.0,10.0,53.3,1.11,2.22,1.11,1.52
Root Beer,A&W,215.0,0.0,14.2,0.0,0.0,13.6,0.0616
Quiche Lorraine,Kirkland Signature,478.0,5.36,7.86,6.79,0.357,0.714,0.499
Preparation mug cake chocolat-caramel au beurre salé,Alice Délice,1632.0,7.0,70.0,7.0,0.0,42.0,0.975
Butter Croissants,Fresh & Easy,1523.0,7.79,44.16,16.88,1.3,5.19,1.08966
Wild Blueberry Muffins,Fresh & Easy,1548.0,6.48,47.22,15.74,0.9,25.93,0.72898
Bolillos,Fresh & Easy,1159.0,9.57,51.06,4.26,2.1,2.13,1.27
Biscuit,Fresh & Easy,1452.0,8.0,33.33,20.0,1.3,2.67,1.4224
Biscuit,Fresh & Easy,1339.0,5.33,38.67,16.0,1.3,9.33,1.15062
Oatmeal Raisin Cookie,"Giant,  Fresh & Easy",1778.0,3.54,61.95,17.7,1.8,37.17,0.56134
Sliced Plain Bagel,Fresh & Easy,1527.0,12.94,71.76,1.18,2.4,4.71,1.19634
Scone,Fresh & Easy,1920.0,3.53,52.94,25.88,2.4,30.59,0.4191
Belgian Vanilla Waffle,Fresh & Easy,2067.0,8.24,67.06,22.35,2.4,28.24,1.70434
Seasonal Cookie Platter,Fresh & Easy,1866.0,3.57,60.71,21.43,1.8,35.71,0.68072
Muffin,Fresh & Easy,1749.0,5.88,51.76,21.76,2.4,32.94,0.6731
Muffin,Fresh & Easy,1477.0,6.47,45.88,15.88,1.2,25.88,0.762
Freshly Baked Italian Loaf,Fresh & Easy,941.0,7.14,42.86,0.0,1.8,0.0,1.36144
Freshly Baked Apple Pie,Fresh & Easy,1155.0,1.63,39.02,13.82,1.6,23.58,0.47498
Snickerdoodle Cookies,Fresh & Easy,1866.0,3.57,60.71,21.43,1.8,32.14,0.99822
Freshly Baked In Store Cherry Turnover,Fresh & Easy,1674.0,4.71,45.88,22.35,1.2,18.82,0.77724
Apple Turnover,Fresh & Easy,1623.0,4.71,42.35,22.35,2.4,15.29,0.80772
Pineapple Coconut Muffins,Fresh & Easy,1665.0,6.48,52.78,18.52,0.9,32.41,0.8001
Assorted Strudel Bite,Fresh & Easy,1569.0,1.79,48.21,21.43,1.8,21.43,0.40894
Freshly Baked Chocolat Croissant,Fresh & Easy,1812.0,8.33,45.0,23.33,1.7,11.67,1.05918
Cornbread,Fresh & Easy,1632.0,6.78,50.85,18.64,1.7,22.03,0.81788
La Brea Bakery Ciabatta Loaf Freshly Baked In Store,Fresh & Easy,1176.0,8.77,52.63,3.51,1.8,0.0,1.78308
Belgian Choc Chip Waffle,Fresh & Easy,2117.0,8.24,68.24,22.35,2.4,29.41,1.70434
Chocolate Scone,Fresh & Easy,2912.0,5.36,80.36,39.29,3.6,46.43,0.635
Luxury Christmas Pudding,"Asda,Asda Extra Special",1284.0,3.9,54.2,7.0,4.7,44.0,0.2
Luxury Christmas Pudding,"Asda,Asda Extra Special",1284.0,3.9,54.2,7.0,4.7,44.0,0.199898
"Pepsi, Nouveau goût !",Pepsi,177.0,0.0,10.4,0.0,0.0,10.4,0.0254
Crêpes jambon fromage,Bo Frost,678.0,8.2,17.0,6.6,0.9,3.7,0.73
Cauliflower,"Sainsbury's,by sainsbury's",144.0,3.6,2.9,0.9,1.8,2.5,0.0
Marmite Original Pate A Tartiner 125G,Marmite,1046.0,39.0,24.0,1.0,3.5,1.0,9.8
Madeleines nature,Bijou,1900.0,6.0,55.0,23.0,1.5,26.0,0.66
"Buttery Spread, With Flaxseed Oil",Canola Harvest,2389.0,0.0,0.0,57.14,0.0,0.0,1.36144
Lithuanian Rye Bread,Today's Temptations,954.0,5.26,47.37,2.63,1.8,8.77,1.42494
Organic Flourless Sprouted 7-Grain Bread,Trader Joe's,983.0,11.76,44.12,2.94,8.8,2.94,0.6731
Puppodums,Sharwood's,1159.0,21.9,45.7,0.3,10.1,0.6,6.096
Monterey Jack,Food Club,1494.0,25.0,3.57,28.57,0.0,0.0,1.54178
"Bakers Best, White Bread",Wise Woodworks,983.0,8.82,50.0,1.47,2.9,5.88,1.27
